,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,core_cnt,top10Degreemean,top10Degreestd,token
49,49,51,2022-08-08,2.0816326530612246,2.812448034289384,14.0,7.0710678118654755,6.7254901960784315,0.04336734693877552,0.058592667381028786,0.0823188924692684,0.27646436632518423,0.6014994232987314,0.024489795918367346,0.09347029258627947,0.10915412610424714,0.218760591544754,0.10939176540612798,5,0.7959183673469388,1,14.0,7.0710678118654755,Euler
50,32,33,2022-08-09,2.0625,2.839099130176286,10.5,9.192388155425117,5.090909090909091,0.0665322580645161,0.09158384290891242,0.09941789215686275,0.29576083885269383,0.54178145087236,0.0375,0.12375532767916704,0.12825224689884912,0.2967057971767817,0.0997863452598643,2,0.9375,2,10.5,9.192388155425117,Euler
51,35,37,2022-08-10,2.1142857142857143,2.9582529479748145,12.0,8.48528137423857,5.675675675675675,0.06218487394957978,0.08700743964631807,0.07656395891690009,0.24357760591406974,0.5076698319941564,0.031578947368421054,0.1210699403923379,0.11967756112705163,0.298595910701763,0.11924965979173255,3,0.8857142857142857,2,12.0,8.48528137423857,Euler
52,35,34,2022-08-11,1.9428571428571428,3.3863294126171937,12.5,12.020815280171307,6.4338235294117645,0.057142857142857086,0.09959792390050573,0.0,0.0,0.4783737024221453,0.0,0.12128269914254773,0.1194555961194294,0.32414606354093617,0.12796305863419186,3,0.8857142857142857,2,12.5,12.020815280171307,Euler
53,49,47,2022-08-12,1.9183673469387754,1.846581692094405,9.0,4.242640687119285,4.691489361702128,0.03996598639455779,0.03847045191863344,0.04112554112554113,0.1998622114889837,0.7387958352195563,0.024,0.07460375068410863,0.12309208433199043,0.11945325997148384,0.06211436263328284,6,0.5714285714285714,3,9.0,4.242640687119285,Euler
54,105,141,2022-08-13,2.6857142857142855,5.014046204479919,34.5,13.435028842544403,12.845744680851064,0.025824175824175788,0.04821198273538371,0.05310956743514883,0.2145483200126708,0.5526130476334189,0.009708737864077669,0.06586046091317779,0.072360739412914,0.2873680528195634,0.07953022830203355,3,0.9523809523809523,3,34.5,13.435028842544403,Euler
55,70,94,2022-08-14,2.6857142857142855,4.302149301551074,26.0,1.4142135623730951,9.680851063829788,0.03892339544513459,0.062349989877551956,0.019095238095238096,0.1254324839446525,0.4972838388411046,0.0037641154328732747,0.08752406660421697,0.08198335316659283,0.3131737839069456,0.05726421142245975,1,1.0,3,26.0,1.4142135623730951,Euler
56,56,63,2022-08-15,2.25,2.6849750295097548,13.5,7.7781745930520225,6.0,0.040909090909090846,0.04881772780926823,0.07293233082706767,0.23295177089459182,0.6443688586545729,0.04332129963898917,0.0790204122784702,0.10873849939833327,0.2296868773285277,0.06588488297563073,2,0.9642857142857143,2,13.5,7.7781745930520225,Euler
57,94,130,2022-08-16,2.765957446808511,5.328813000863297,37.0,1.4142135623730951,13.376923076923076,0.02974147792267214,0.05729906452541189,0.12018755568587595,0.3227140974989595,0.5244082840236686,0.021653543307086614,0.06855982231741369,0.07747061682304036,0.27961901221156826,0.08311377755718259,3,0.9574468085106383,3,37.0,1.4142135623730951,Euler
58,78,102,2022-08-17,2.6153846153846154,4.249463737689979,24.0,16.97056274847714,9.176470588235293,0.03396603396603394,0.055187840749220396,0.09076294076294077,0.2559600666885772,0.5905901576316801,0.03837209302325582,0.07520209852999749,0.08519513593375712,0.2971140091787094,0.08125839269070266,2,0.9743589743589743,2,24.0,16.97056274847714,Euler
59,41,41,2022-08-18,2.0,2.6076809620810595,11.5,7.7781745930520225,5.75,0.04999999999999996,0.06519202405202645,0.0,0.0,0.6058893515764425,0.0,0.1027815584432874,0.11904557961162741,0.25555539913767317,0.08202962240679566,2,0.9512195121951219,2,11.5,7.7781745930520225,Euler
60,58,61,2022-08-19,2.103448275862069,2.789011364626274,15.5,6.363961030678928,7.368852459016393,0.036902601330913526,0.0489300239408119,0.05172413793103448,0.22340379562211246,0.6490190808922333,0.010380622837370242,0.08238594751437078,0.10313746812030725,0.21655650476917146,0.0919721249188325,4,0.8620689655172413,3,15.5,6.363961030678928,Euler
61,41,42,2022-08-20,2.048780487804878,2.635822637358168,11.5,7.7781745930520225,5.613095238095238,0.05121951219512191,0.06589556593395418,0.043448110951697747,0.1855575002030444,0.6040249433106575,0.03278688524590164,0.10108848004195536,0.12052239286903232,0.23838496098504366,0.10507472396287162,3,0.8048780487804879,2,11.5,7.7781745930520225,Euler
62,34,40,2022-08-21,2.3529411764705883,2.2814449560188876,10.0,0.0,4.25,0.07130124777183598,0.06913469563693599,0.0,0.0,0.6096875,0.0,0.09979875203573585,0.1415677489735794,0.1881199175148426,0.07456885069769521,3,0.8529411764705882,4,10.0,0.0,Euler
63,32,37,2022-08-22,2.3125,2.705281572608806,10.0,8.48528137423857,4.324324324324325,0.07459677419354835,0.08726714750350986,0.04739583333333333,0.18554914018377744,0.5069393718042368,0.037037037037037035,0.12476943646304417,0.12723394850155925,0.2751167944195637,0.06340422592034019,1,1.0,2,10.0,8.48528137423857,Euler
64,56,54,2022-08-23,1.9285714285714286,3.3729250475845705,17.0,11.313708498984761,8.814814814814815,0.03506493506493501,0.06132590995608312,0.0375,0.18738632918021636,0.6520919067215363,0.008264462809917356,0.08191182900084325,0.10653768664017874,0.2144371471286646,0.09624152419730249,3,0.7678571428571429,2,17.0,11.313708498984761,Euler
65,109,118,2022-08-24,2.165137614678899,4.4211481696833355,30.0,15.556349186104045,13.85593220338983,0.020047570506286118,0.04093655712669751,0.023130456109693196,0.12309116538824612,0.6789356506750934,0.0075440067057837385,0.05497420984581891,0.0787979220120611,0.23028288347199777,0.07965721292906924,5,0.9174311926605505,2,30.0,15.556349186104045,Euler
